==============================================================================
REPORTE DE DIMENSIONES SIN RESOLVER — DELCA ERP
Generado: 2026-08-24 20:01
Total llantas afectadas: 1637
==============================================================================

DEFINICIÓN: llantas cuyo campo 'dimension' tiene texto (ej. '9.5R17.5')
pero 'dimension_id' quedó NULL — el parser del importador no reconoció
el formato y no se vincularon al catálogo 'dimensiones_llanta'.
Consecuencia: no son agrupables por catálogo y no reciben precio/prep
desde 'precios_producto' (que se vincula por dimension_id + diseno_id).

------------------------------------------------------------------------------
RESUMEN POR FORMATO DE DIMENSIÓN
------------------------------------------------------------------------------
Dimensión              Cantidad       %   Ejemplo tiquetes
9.5R17.5                   1391   85.0%   J10004, J10005, J10006
7.50R16                     106    6.5%   J10214, J10710, J10893
215/75R16C                   35    2.1%   J10250, J10251, J1026
7.00R15                      30    1.8%   J11449, J14841, J14842
7.00R16                      26    1.6%   J10712, J11545, J11546
31X10.50R15                  14    0.9%   J102, J11773, J11774
12-22.5                       7    0.4%   J10166, J12161, J12364
8.25R16                       5    0.3%   J20855, J3972, J3973
12-16.5                       3    0.2%   J1882, J2025, J818
295/80R22.5U                  3    0.2%   J10456, J14223, J14377
215/75-15                     2    0.1%   J11398, J11399
J864 | 8.25R16 | APTA | PRODUCCION | BOTO
J865 | 8.25R16 | APTA | PRODUCCION | BOTO
J3243 | 8.5R17.5 | REENCAUCHADA | CLIENTE | KUM
J4467 | 8.5R17.5 | REENCAUCHADA | CLIENTE | KUM
J10004 | 9.5R17.5 | REENCAUCHADA | CLIENTE | DOES
J10005 | 9.5R17.5 | REENCAUCHADA | CLIENTE | DOES
J10006 | 9.5R17.5 | REENCAUCHADA | CLIENTE | LMC
J10032 | 9.5R17.5 | REENCAUCHADA | CLIENTE | JINY
J10039 | 9.5R17.5 | REENCAUCHADA | CLIENTE | ZETA
J10040 | 9.5R17.5 | APTA | PRODUCCION | ZETA
J10041 | 9.5R17.5 | APTA | PRODUCCION | FOR
J10058 | 9.5R17.5 | REENCAUCHADA | CLIENTE | MCH
J10059 | 9.5R17.5 | REENCAUCHADA | CLIENTE | MCH
J10091 | 9.5R17.5 | REENCAUCHADA | CLIENTE | LMC
J10092 | 9.5R17.5 | REENCAUCHADA | CLIENTE | ZETA
J10093 | 9.5R17.5 | REENCAUCHADA | CLIENTE | LMC
J10094 | 9.5R17.5 | REENCAUCHADA | CLIENTE | ZETA
J10095 | 9.5R17.5 | REENCAUCHADA | CLIENTE | ZETA
J10130 | 9.5R17.5 | APTA | PRODUCCION | ATLA
J10160 | 9.5R17.5 | APTA | PRODUCCION | ZETA
J10164 | 9.5R17.5 | REPARADA | CLIENTE | STP
J10165 | 9.5R17.5 | REPARADA | CLIENTE | STP
J10191 | 9.5R17.5 | REENCAUCHADA | CLIENTE | FOR
J10192 | 9.5R17.5 | REENCAUCHADA | CLIENTE | FOR
J10247 | 9.5R17.5 | REENCAUCHADA | CLIENTE | FOR
J10248 | 9.5R17.5 | REENCAUCHADA | CLIENTE | SPOR
J10285 | 9.5R17.5 | REENCAUCHADA | CLIENTE | SPOR
J10301 | 9.5R17.5 | REPARADA | CLIENTE | STP
J10317 | 9.5R17.5 | REENCAUCHADA | CLIENTE | FOR
J10318 | 9.5R17.5 | REENCAUCHADA | CLIENTE | FOR
J10331 | 9.5R17.5 | REENCAUCHADA | CLIENTE | ZETA
J10332 | 9.5R17.5 | APTA | PRODUCCION | ZETA
J10340 | 9.5R17.5 | REENCAUCHADA | CLIENTE | VIKR
J10344 | 9.5R17.5 | REENCAUCHADA | CLIENTE | ZETA
J10345 | 9.5R17.5 | APTA | PRODUCCION | ZETA
J10346 | 9.5R17.5 | REENCAUCHADA | CLIENTE | ZETA
J10392 | 9.5R17.5 | REENCAUCHADA | CLIENTE | TRZ
J10393 | 9.5R17.5 | APTA | PRODUCCION | FOR
J10394 | 9.5R17.5 | REENCAUCHADA | CLIENTE | FOR
J10397 | 9.5R17.5 | REENCAUCHADA | CLIENTE | ZETA
J10427 | 9.5R17.5 | REENCAUCHADA | CLIENTE | ZETA
J10455 | 9.5R17.5 | REPARADA | CLIENTE | DLP
J10488 | 9.5R17.5 | REENCAUCHADA | CLIENTE | MAXX
J10489 | 9.5R17.5 | APTA | PRODUCCION | TRIA
J10496 | 9.5R17.5 | REENCAUCHADA | CLIENTE | GDY
